DateID,Date,Day,Month,Year,DayOfWeek,IsWeekend,WeekOfYear
1,2023-01-01,1,1,2023,Sunday,True,52
2,2023-01-02,2,1,2023,Monday,False,1
3,2023-01-03,3,1,2023,Tuesday,False,1
4,2023-01-04,4,1,2023,Wednesday,False,1
5,2023-01-05,5,1,2023,Thursday,False,1
6,2023-01-06,6,1,2023,Friday,False,1
7,2023-01-07,7,1,2023,Saturday,True,1
8,2023-01-08,8,1,2023,Sunday,True,1
9,2023-01-09,9,1,2023,Monday,False,2
10,2023-01-10,10,1,2023,Tuesday,False,2
